Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Tuition_fees_up_to_date,Debtor,Scholarship_holder,Admission_grade,Age_at_enrollment,Gender,Status
7,13.128,6,13.193333333333332,1,0,0,122.9,18,0,Graduate
6,11.605,7,12.4125,1,0,0,117.2,20,0,Graduate
5,14.6,5,12.0,1,0,1,152.0,18,0,Graduate
0,0.0,0,0.0,1,0,0,122.2,18,0,Dropout
5,11.8,5,11.6,1,0,1,101.7,20,0,Graduate
6,12.333333333333334,6,12.333333333333334,1,0,0,119.9,20,0,Graduate
4,11.0,0,0.0,1,1,1,123.7,19,0,Dropout
11,13.181818181818182,11,12.909090909090908,1,0,1,121.8,19,0,Graduate
1,11.0,0,0.0,0,1,1,106.1,18,0,Dropout
6,11.833333333333334,6,12.285714285714286,1,1,1,124.3,19,0,Graduate
8,12.98125,8,12.98125,1,0,1,124.3,20,0,Graduate
6,11.333333333333334,5,11.2,1,0,0,117.4,21,0,Graduate
6,11.68,6,11.68,1,0,0,112.7,21,0,Graduate
6,14.5,6,13.5,1,0,0,123.7,20,0,Graduate
7,13.142857142857142,7,12.857142857142858,1,0,0,105.8,19,0,Graduate
2,11.5,2,10.5,0,0,0,124.2,21,0,Dropout
5,14.2,5,11.8,1,0,0,122.3,18,0,Graduate
5,11.666666666666666,5,12.2,1,0,1,123.7,19,0,Graduate
7,13.175,8,14.875,1,0,0,129.8,18,0,Graduate
7,13.314285714285717,7,13.314285714285717,1,0,1,123.8,19,0,Graduate
3,10.6,3,10.5,1,0,1,126.4,18,0,Graduate
4,12.0,4,10.75,1,0,1,115.1,18,0,Enrolled
6,13.428571428571429,6,14.142857142857142,1,0,0,138.4,18,0,Graduate
4,13.25,5,15.571428571428571,1,0,1,118.2,18,0,Graduate
2,13.0,0,0.0,1,0,0,121.7,18,0,Dropout
6,14.333333333333334,6,14.0,1,0,1,118.0,18,0,Enrolled
0,0.0,0,0.0,1,0,0,119.8,18,0,Dropout
6,14.0,6,13.166666666666666,1,0,0,164.9,18,0,Graduate
2,12.0,6,12.833333333333334,1,0,1,100.0,20,0,Graduate
5,12.333333333333334,5,10.6,1,0,0,121.6,18,0,Enrolled
5,11.8,5,10.4,1,0,0,120.4,18,0,Graduate
7,12.791428571428572,7,12.791428571428572,1,0,1,117.8,20,0,Graduate
8,11.625,5,11.2,1,0,0,110.0,40,0,Graduate
6,11.994444444444444,7,12.43142857142857,1,0,1,128.8,18,0,Graduate
5,11.6,5,12.2,1,0,0,116.6,19,0,Graduate
0,0.0,0,0.0,1,0,0,120.0,24,0,Dropout
6,13.166666666666666,6,13.166666666666666,1,0,0,157.5,19,0,Dropout
7,14.1,7,14.1,1,0,0,136.3,19,0,Graduate
6,12.396666666666668,7,12.94285714285714,1,0,1,121.5,20,0,Graduate
7,15.014285714285714,8,16.0875,1,0,0,133.9,18,0,Graduate
0,0.0,0,0.0,1,0,1,136.8,18,0,Graduate
7,14.05,8,15.1,1,0,0,133.5,19,0,Graduate
7,14.85,8,15.2,1,0,0,130.0,18,0,Dropout
6,13.0,5,13.0,1,0,0,140.0,19,0,Graduate
7,14.7875,8,15.8625,1,0,1,132.7,19,0,Graduate
7,13.7,7,14.671428571428574,1,0,1,117.8,19,0,Graduate
7,12.495714285714286,7,12.242857142857144,1,0,1,126.1,19,0,Dropout
6,14.566666666666668,6,14.566666666666668,1,0,0,120.0,19,0,Graduate
5,11.2,4,11.25,0,1,0,100.0,25,0,Dropout
7,12.685714285714283,7,12.685714285714283,1,0,0,116.8,20,0,Graduate
7,13.571428571428571,4,13.25,0,1,0,128.3,23,0,Dropout
0,0.0,0,0.0,1,0,0,117.0,20,0,Dropout
5,11.0,6,11.166666666666666,1,0,0,131.5,27,0,Graduate
8,14.445,8,14.445,1,0,0,134.8,18,0,Graduate
5,13.6,4,11.75,1,1,0,146.6,18,0,Enrolled
11,14.0,8,14.625,0,1,0,130.0,23,0,Dropout
6,13.416666666666666,6,13.416666666666666,1,0,1,127.5,19,0,Graduate
5,12.333333333333334,5,11.4,1,0,0,123.0,18,0,Graduate
7,13.1,8,14.8125,1,0,0,100.0,20,0,Graduate
4,13.2,5,12.8,1,0,0,114.2,18,0,Graduate
8,14.75,8,14.75,1,0,1,123.5,19,0,Graduate
6,13.142857142857142,6,14.333333333333334,1,0,1,144.3,19,0,Graduate
4,12.5,5,12.5,1,0,0,142.2,19,0,Enrolled
4,13.75,5,14.857142857142858,1,0,0,161.9,18,0,Graduate
5,12.4,6,13.0,1,0,0,135.9,18,0,Graduate
6,13.333333333333334,6,12.0,1,0,0,110.1,18,0,Graduate
11,11.727272727272728,8,12.0,0,0,0,122.5,28,0,Dropout
4,12.5,1,14.0,1,0,0,138.1,19,0,Dropout
0,0.0,0,0.0,1,1,0,117.3,20,0,Dropout
6,13.533333333333331,7,13.614285714285714,1,0,1,106.8,19,0,Graduate
6,13.166666666666666,6,12.666666666666666,1,0,1,120.1,20,0,Graduate
5,13.2,5,11.0,1,0,1,116.5,19,0,Graduate
5,12.2,4,12.6,1,0,0,120.0,21,0,Enrolled
7,13.428571428571429,7,14.857142857142858,1,0,1,139.7,19,0,Graduate
6,12.714285714285714,6,12.625,1,0,1,123.7,18,0,Graduate
0,0.0,0,0.0,1,0,0,116.5,19,0,Dropout
6,13.666666666666666,6,13.666666666666666,1,0,1,122.2,19,0,Graduate
5,11.0,6,13.166666666666666,1,1,0,146.0,20,0,Graduate
5,11.4,6,13.333333333333334,1,0,0,108.8,18,0,Enrolled
0,0.0,0,0.0,1,0,0,133.0,18,0,Enrolled
4,12.0,5,12.0,1,0,0,123.8,18,0,Graduate
0,0.0,0,0.0,1,0,0,120.0,18,0,Dropout
5,11.0,6,11.666666666666666,1,0,0,126.9,18,0,Graduate
5,12.0,6,11.571428571428571,1,0,0,121.3,20,0,Dropout
7,13.308571428571428,8,12.55,1,0,1,129.0,19,0,Graduate
3,13.666666666666666,3,10.666666666666666,0,1,0,114.9,21,0,Dropout
0,0.0,0,0.0,0,1,0,106.5,20,0,Dropout
5,12.2,4,11.25,1,0,0,133.9,18,0,Graduate
6,12.666666666666666,6,12.833333333333334,1,0,1,124.9,20,0,Graduate
8,14.07125,8,14.07125,1,0,1,128.5,19,0,Graduate
4,14.25,5,13.2,1,0,0,126.2,22,0,Dropout
0,0.0,0,0.0,0,0,0,121.7,22,0,Dropout
3,12.0,4,10.25,1,0,0,120.0,18,0,Enrolled
6,11.166666666666666,7,10.571428571428571,1,0,0,113.2,21,0,Enrolled
2,13.0,5,11.6,1,0,0,120.3,19,0,Graduate
0,0.0,0,0.0,1,0,0,127.8,19,0,Dropout
7,14.901428571428571,7,14.901428571428571,1,0,1,123.3,20,0,Dropout
7,12.65,8,12.445555555555554,1,1,1,126.3,18,0,Graduate
7,11.0,5,10.6,0,0,0,128.2,22,0,Dropout
4,12.4,5,12.666666666666666,1,0,0,134.9,20,0,Graduate
6,12.0,6,12.666666666666666,1,0,0,140.0,19,0,Graduate
7,12.135714285714286,7,13.328571428571427,1,0,1,115.5,19,0,Graduate
5,12.62,6,12.5,1,0,1,106.7,20,0,Enrolled
3,10.666666666666666,3,11.333333333333334,1,0,0,140.0,25,0,Enrolled
6,13.766666666666666,7,14.051428571428572,1,0,1,136.6,19,0,Graduate
8,13.11625,8,13.11625,1,0,0,119.3,19,0,Graduate
0,0.0,0,0.0,0,0,0,152.0,19,0,Dropout
6,12.7,7,13.571428571428571,1,0,0,144.3,20,0,Graduate
7,11.857142857142858,5,11.7,1,0,0,159.0,25,0,Enrolled
6,12.333333333333334,6,12.333333333333334,1,0,1,129.5,20,0,Graduate
4,15.75,5,16.4,1,0,0,140.0,24,0,Enrolled
5,13.333333333333334,5,13.2,1,0,0,105.4,20,0,Graduate
7,14.355555555555554,8,13.49375,1,0,0,136.0,21,0,Graduate
6,13.0,5,13.0,1,1,1,160.0,19,0,Graduate
6,12.833333333333334,6,13.5,1,0,1,139.1,19,0,Graduate
5,13.2,4,13.0,1,0,1,126.9,21,0,Graduate
7,17.005555555555556,8,16.582222222222224,1,0,0,184.0,28,0,Graduate
5,10.6,5,11.0,0,1,1,125.0,19,0,Graduate
5,14.0,5,13.6,1,0,1,138.5,18,0,Graduate
7,12.114285714285714,7,12.114285714285714,1,0,1,133.5,18,0,Graduate
8,13.05875,8,13.05875,1,0,1,141.5,18,0,Graduate
7,13.285714285714286,7,13.285714285714286,1,0,0,130.0,22,0,Graduate
4,11.0,3,10.666666666666666,1,0,0,131.0,19,0,Enrolled
7,14.071428571428571,8,15.1625,1,0,1,145.0,18,0,Graduate
0,0.0,0,0.0,0,0,0,114.3,20,0,Dropout
4,11.25,3,11.0,0,0,0,108.3,26,0,Dropout
6,14.0,6,13.625,1,0,1,125.2,18,0,Graduate
6,12.166666666666666,3,11.666666666666666,1,0,1,131.7,21,0,Dropout
7,13.297142857142855,7,13.297142857142855,1,0,0,126.3,18,0,Graduate
6,13.923076923076923,6,14.25,1,0,0,147.6,20,0,Graduate
7,13.37,7,12.833333333333334,1,0,0,125.1,18,0,Graduate
5,12.4,3,11.0,1,0,1,123.8,19,0,Enrolled
4,15.0,4,13.75,1,0,0,130.8,20,0,Dropout
6,13.333333333333334,6,12.571428571428571,1,1,1,154.1,18,0,Graduate
3,12.0,4,12.625,1,0,1,122.6,20,0,Enrolled
5,13.4,5,12.2,1,0,0,103.5,22,0,Graduate
0,0.0,0,0.0,1,0,0,132.8,18,0,Enrolled
4,11.5,5,11.4,1,0,0,100.0,21,0,Graduate
6,12.0,6,12.166666666666666,1,0,0,115.8,18,0,Enrolled
7,13.485714285714284,7,13.485714285714284,1,0,0,133.8,18,0,Graduate
6,12.0,6,11.285714285714286,1,0,1,118.5,18,0,Graduate
0,0.0,0,0.0,1,0,0,150.3,19,0,Dropout
3,10.333333333333334,3,14.428571428571429,1,0,0,107.8,19,0,Enrolled
5,12.94,5,13.76,1,0,0,127.5,19,0,Enrolled
7,13.258571428571427,7,13.258571428571427,1,0,0,120.5,19,0,Graduate
4,12.25,4,12.0,1,0,0,117.3,19,0,Enrolled
3,11.666666666666666,1,10.0,0,0,0,120.6,19,0,Dropout
6,13.571428571428571,6,12.5,1,0,1,118.7,21,0,Graduate
5,11.8,5,11.833333333333334,1,0,1,130.8,20,0,Graduate
5,14.2,5,13.285714285714286,1,0,1,112.6,20,0,Graduate
5,11.0,5,11.8,1,0,0,117.2,41,0,Graduate
4,13.625,7,12.6375,1,0,0,130.0,32,0,Enrolled
7,14.652857142857142,7,14.652857142857142,1,0,0,131.8,18,0,Graduate
6,11.333333333333334,6,11.333333333333334,1,0,1,97.0,35,0,Graduate
4,13.7,0,0.0,0,1,0,130.0,32,0,Dropout
11,13.727272727272728,8,14.75,1,0,0,148.0,37,0,Graduate
7,11.75,7,11.142857142857142,1,0,0,103.4,30,0,Dropout
6,12.333333333333334,5,13.0,1,0,0,127.1,23,1,Graduate
6,14.0,6,13.857142857142858,1,0,1,124.0,20,0,Dropout
4,11.5,4,11.75,1,0,0,121.4,21,1,Graduate
5,11.2,5,13.2,1,0,0,118.1,19,1,Graduate
7,15.07,7,15.07,1,0,1,121.3,18,1,Graduate
1,10.0,1,12.0,1,0,0,119.5,18,1,Dropout
4,12.0,5,12.666666666666666,1,0,0,115.2,24,1,Enrolled
4,13.0,4,12.6,1,0,0,130.2,22,1,Graduate
4,11.0,3,11.25,1,0,0,130.0,18,1,Dropout
6,13.571428571428571,5,12.166666666666666,1,0,0,126.9,18,0,Graduate
5,14.6,5,14.2,1,0,0,168.5,21,1,Graduate
3,11.833333333333334,2,10.0,1,1,0,130.0,38,0,Dropout
7,12.625,8,12.5125,1,0,1,122.8,19,0,Graduate
4,11.5,3,12.333333333333334,1,0,0,110.0,36,0,Dropout
4,13.25,4,10.5,1,0,0,127.1,18,0,Graduate
7,12.60625,6,11.9,1,0,0,108.5,19,0,Graduate
8,13.75,5,13.2,0,1,0,138.2,21,0,Dropout
6,13.598333333333334,6,11.933333333333332,1,0,0,96.0,19,0,Enrolled
5,11.142857142857142,6,12.285714285714286,1,0,1,124.5,18,0,Graduate
11,12.7,10,12.96818181818182,1,0,0,120.0,45,0,Enrolled
1,10.0,1,11.0,1,0,0,132.3,20,0,Dropout
6,11.666666666666666,4,11.5,1,1,0,120.7,18,0,Graduate
6,14.0,6,13.142857142857142,1,0,1,132.6,18,0,Graduate
0,0.0,0,0.0,1,0,0,140.0,25,0,Dropout
7,12.04142857142857,7,12.04142857142857,1,0,0,124.5,19,0,Graduate
0,0.0,0,0.0,1,0,1,142.0,18,0,Graduate
13,13.76923076923077,12,14.583333333333334,1,0,0,130.0,39,0,Graduate
18,15.444444444444445,13,15.307692307692308,1,0,0,144.0,29,0,Graduate
6,11.5,7,12.714285714285714,1,0,0,128.5,18,0,Enrolled
2,10.0,0,0.0,0,0,0,140.0,23,0,Dropout
4,12.25,3,10.333333333333334,1,0,0,113.9,21,0,Dropout
6,14.5,6,15.166666666666666,0,0,0,137.2,18,0,Graduate
6,15.571428571428571,6,16.375,1,0,0,140.0,23,0,Graduate
6,15.571428571428571,6,14.714285714285714,1,0,0,152.3,18,0,Graduate
5,13.8,6,12.166666666666666,1,0,0,112.5,32,0,Graduate
3,10.666666666666666,2,14.8,0,1,0,101.0,29,0,Dropout
5,11.6,4,11.75,1,1,1,112.3,20,0,Graduate
1,13.0,0,0.0,0,0,0,114.0,28,0,Dropout
3,12.0,4,13.625,1,0,0,130.0,27,0,Graduate
12,12.333333333333334,12,12.333333333333334,1,1,0,121.5,22,0,Graduate
6,12.875,6,12.9,1,1,0,120.0,37,0,Enrolled
1,11.0,0,0.0,0,0,0,130.0,28,0,Dropout
4,12.25,4,10.5,0,1,0,125.7,43,0,Dropout
0,0.0,0,0.0,0,0,0,128.0,32,0,Dropout
4,10.75,5,11.5,1,0,1,113.2,20,0,Enrolled
8,13.63,8,13.63,1,0,1,120.0,35,0,Graduate
3,13.0,4,11.5,1,0,0,117.8,21,0,Graduate
6,13.533333333333331,7,12.228571428571428,1,0,1,121.3,18,0,Enrolled
7,16.9,8,16.37777777777778,1,0,1,169.7,18,0,Graduate
5,12.0,4,12.0,1,0,0,117.7,18,0,Graduate
6,12.5,6,13.285714285714286,1,0,0,121.8,22,0,Graduate
7,12.764285714285714,7,12.764285714285714,1,0,0,128.3,19,0,Graduate
5,13.75,5,12.166666666666666,1,0,1,132.2,18,0,Graduate
0,0.0,0,0.0,1,1,0,134.3,19,0,Dropout
7,14.604285714285712,8,15.68333333333333,1,0,1,123.4,18,0,Graduate
0,0.0,0,0.0,0,1,0,121.7,31,0,Dropout
5,13.833333333333334,6,12.5,1,1,1,130.0,33,0,Graduate
8,13.57625,8,13.57625,1,0,1,126.5,19,0,Graduate
6,15.142857142857142,6,15.833333333333334,1,0,1,159.7,18,0,Graduate
3,10.666666666666666,5,11.6,1,0,0,151.3,23,0,Graduate
5,11.2,6,12.0,1,0,0,138.0,20,0,Graduate
8,13.76375,8,13.76375,1,0,0,126.5,18,0,Graduate
8,13.25,5,12.2,1,1,0,140.0,21,0,Enrolled
5,10.714285714285714,5,12.2,1,0,1,112.3,22,0,Graduate
6,12.166666666666666,6,11.666666666666666,1,1,0,127.3,20,0,Graduate
6,14.357142857142858,6,14.357142857142858,1,0,0,130.0,23,0,Graduate
6,12.833333333333334,6,12.666666666666666,1,0,0,115.0,19,0,Graduate
7,13.925714285714283,7,13.925714285714283,1,0,0,131.5,19,0,Graduate
2,12.0,3,11.0,1,0,0,125.7,26,0,Dropout
7,13.44285714285714,8,13.744444444444444,1,0,0,126.8,18,0,Graduate
1,16.0,0,0.0,1,0,0,132.4,18,1,Dropout
6,13.125,6,13.2,1,0,0,150.0,20,1,Graduate
0,0.0,0,0.0,1,0,0,95.0,19,1,Dropout
5,11.4,4,11.0,0,0,0,128.2,32,1,Dropout
2,11.0,3,11.666666666666666,0,0,0,130.0,31,1,Dropout
1,11.0,1,10.0,1,0,0,100.0,25,1,Enrolled
5,13.666666666666666,5,13.0,1,0,0,159.9,21,0,Graduate
4,11.75,1,10.0,0,0,0,100.0,31,0,Dropout
1,10.0,1,13.0,1,0,0,116.5,34,0,Dropout
6,13.5,6,12.833333333333334,1,0,1,120.0,18,0,Graduate
0,0.0,0,0.0,1,1,0,117.0,19,0,Dropout
1,12.0,1,11.0,1,1,0,140.0,21,0,Enrolled
3,13.0,5,11.8,0,0,0,118.1,18,0,Dropout
6,14.833333333333334,6,16.0,1,0,0,153.5,20,0,Graduate
6,11.833333333333334,6,12.857142857142858,1,0,0,127.9,20,0,Graduate
5,12.0,5,12.333333333333334,1,0,1,118.8,18,0,Graduate
4,12.75,6,11.333333333333334,1,0,0,126.7,19,0,Graduate
0,0.0,4,14.75,1,0,0,170.0,19,0,Enrolled
0,0.0,1,10.0,1,0,1,110.0,30,0,Dropout
6,12.0,6,12.857142857142858,1,0,0,115.0,19,0,Graduate
7,11.677777777777775,8,13.8,1,0,0,119.0,19,0,Graduate
7,13.6,7,13.6,1,0,1,121.8,19,0,Graduate
6,16.0,6,15.875,1,0,0,133.4,19,0,Graduate
5,11.8,6,11.5,1,0,0,131.4,20,0,Graduate
0,0.0,2,14.0,1,1,0,135.0,25,1,Dropout
0,0.0,0,0.0,1,0,0,122.8,19,1,Dropout
6,16.142857142857142,6,16.2,1,1,1,140.0,34,0,Graduate
7,11.785714285714286,7,11.785714285714286,1,0,1,125.3,18,0,Graduate
8,13.42375,8,13.42375,1,0,1,126.3,18,0,Graduate
6,12.5,5,14.166666666666666,1,0,0,100.0,20,0,Graduate
7,12.464285714285714,7,12.464285714285714,1,0,1,121.3,20,0,Graduate
8,12.375,5,12.6,1,1,0,135.0,23,0,Enrolled
1,10.0,0,0.0,1,0,0,120.0,28,0,Dropout
5,12.6,6,12.428571428571429,1,0,0,113.7,18,0,Enrolled
5,12.6,4,12.4,1,0,0,129.7,19,0,Graduate
2,10.0,4,12.0,1,0,0,132.1,34,0,Dropout
0,0.0,0,0.0,1,0,0,120.3,35,0,Dropout
5,11.6,5,12.333333333333334,1,0,0,120.0,32,0,Graduate
6,12.166666666666666,6,13.5,1,0,0,123.1,19,0,Graduate
4,13.6,5,12.666666666666666,1,0,0,119.4,18,0,Graduate
4,12.5,5,11.8,0,0,0,140.0,35,0,Dropout
4,12.25,4,11.5,1,0,1,116.5,24,1,Enrolled
6,11.714285714285714,6,12.625,1,0,1,113.0,20,0,Graduate
6,13.5,6,13.0,1,0,1,133.9,18,1,Graduate
7,13.024285714285714,7,13.024285714285714,1,0,1,115.5,20,1,Graduate
0,0.0,0,0.0,0,0,0,116.5,18,1,Dropout
5,17.333333333333332,5,18.571428571428573,1,0,1,171.2,18,1,Graduate
4,11.0,4,11.5,1,0,1,119.1,20,1,Graduate
6,13.666666666666666,6,12.5,1,0,0,121.1,19,1,Dropout
6,11.375,5,13.8,1,0,1,132.9,20,1,Enrolled
6,12.833333333333334,6,11.833333333333334,1,0,0,132.8,19,1,Graduate
5,12.6,4,11.5,1,0,0,126.7,20,1,Graduate
6,14.333333333333334,7,13.771428571428572,1,0,0,105.8,22,1,Graduate
4,13.5,6,13.625,1,0,1,117.2,18,1,Enrolled
7,14.285714285714286,7,14.285714285714286,1,0,0,140.0,19,1,Graduate
3,11.75,2,10.0,1,0,0,120.0,22,1,Dropout
5,14.8,5,17.6,1,0,0,119.5,20,1,Graduate
0,0.0,0,0.0,0,1,0,153.9,34,1,Dropout
1,10.0,0,0.0,1,0,0,130.0,24,1,Dropout
0,0.0,0,0.0,1,0,0,107.0,26,1,Dropout
4,12.6,5,12.38,1,0,0,132.8,35,1,Dropout
5,12.428571428571429,5,11.8,1,0,0,127.5,22,1,Graduate
4,10.0,3,12.0,1,0,0,123.3,26,1,Enrolled
3,12.333333333333334,0,0.0,1,0,0,122.0,19,1,Dropout
0,0.0,0,0.0,0,0,0,114.8,19,1,Dropout
0,0.0,0,0.0,1,1,0,140.0,20,1,Graduate
10,12.1,8,13.333333333333334,1,1,0,111.0,21,1,Graduate
6,14.714285714285714,6,15.0,1,0,1,133.2,19,0,Graduate
6,12.666666666666666,6,12.833333333333334,1,0,0,123.0,18,0,Graduate
12,14.384615384615383,10,13.3,1,0,1,150.0,23,0,Graduate
5,13.4,5,12.2,1,0,1,132.3,18,0,Graduate
7,13.314285714285717,7,13.314285714285717,1,0,0,126.0,18,0,Graduate
7,11.98857142857143,7,11.98857142857143,1,0,0,119.3,19,0,Graduate
11,11.545454545454543,8,12.88888888888889,1,0,0,133.8,21,0,Graduate
6,16.46153846153846,6,13.875,1,0,1,126.5,18,0,Graduate
6,13.666666666666666,6,12.833333333333334,1,0,1,138.4,24,0,Graduate
7,12.65,8,13.411111111111111,1,0,0,129.0,18,0,Dropout
6,12.333333333333334,3,12.0,1,0,0,118.3,18,0,Enrolled
6,14.37,7,14.65,1,0,0,129.8,20,0,Graduate
3,12.0,4,11.75,1,0,0,113.6,19,0,Enrolled
3,12.0,3,10.666666666666666,0,0,1,128.3,18,0,Dropout
4,12.0,3,11.0,1,0,1,130.0,19,0,Dropout
5,12.6,5,11.2,1,0,0,121.9,19,0,Graduate
6,12.166666666666666,6,12.333333333333334,1,1,0,129.4,18,0,Graduate
6,13.5,6,14.0,1,0,0,115.3,20,0,Enrolled
8,13.76375,8,13.76375,1,0,1,125.5,18,0,Graduate
6,12.4,6,12.8,1,0,1,117.8,19,0,Graduate
4,10.666666666666666,2,12.0,1,0,0,118.7,18,0,Enrolled
6,14.333333333333334,6,14.333333333333334,1,0,0,139.0,18,0,Graduate
4,12.5,2,12.666666666666666,1,0,0,98.9,21,0,Enrolled
1,10.0,0,0.0,0,1,0,137.7,19,0,Dropout
7,14.69625,8,14.622222222222224,1,0,0,113.6,21,0,Graduate
4,11.5,3,13.75,1,0,0,113.4,18,0,Enrolled
7,12.855555555555556,8,13.9125,1,0,1,128.5,18,0,Graduate
7,13.7,8,13.994444444444444,1,0,0,142.8,18,0,Graduate
0,0.0,1,12.0,0,0,0,137.7,23,0,Dropout
3,11.2,4,12.0,1,0,0,103.5,20,0,Enrolled
7,13.285714285714286,8,13.333333333333334,1,0,0,123.2,18,0,Graduate
5,13.0,5,10.4,1,0,0,126.0,19,0,Enrolled
6,12.6,6,11.685714285714283,1,0,1,121.7,27,0,Enrolled
5,12.8,4,12.0,0,1,1,142.8,19,0,Enrolled
5,11.5,5,11.0,1,0,0,120.0,21,0,Dropout
7,11.4,7,11.4,1,0,1,119.3,19,0,Graduate
6,12.333333333333334,6,11.333333333333334,1,0,1,121.0,21,0,Graduate
5,12.8,4,12.2,1,0,0,139.4,18,0,Graduate
5,12.0,4,15.0,1,0,1,113.9,20,0,Graduate
5,13.0,5,13.5,1,0,1,124.6,18,0,Graduate
6,11.833333333333334,6,11.0,0,1,1,123.8,18,0,Dropout
6,14.0,6,13.333333333333334,1,0,0,126.3,18,0,Graduate
6,12.333333333333334,6,13.5,1,0,1,120.4,18,0,Graduate
5,13.04,7,12.5,1,0,1,120.5,19,0,Enrolled
11,13.166666666666666,8,13.333333333333334,0,1,0,144.9,23,0,Enrolled
6,12.5,6,12.833333333333334,1,0,1,139.9,24,0,Graduate
0,0.0,0,0.0,1,0,0,133.3,19,0,Graduate
7,15.657142857142857,7,15.657142857142857,1,0,0,126.0,18,0,Graduate
6,12.166666666666666,6,11.333333333333334,1,0,0,133.5,19,0,Graduate
0,0.0,0,0.0,1,0,0,127.9,19,0,Dropout
5,10.6,5,11.166666666666666,1,0,1,105.9,20,0,Enrolled
6,13.428571428571429,5,12.666666666666666,1,0,0,124.3,20,0,Enrolled
4,11.75,0,0.0,1,0,0,102.5,26,0,Dropout
0,0.0,0,0.0,0,1,0,97.0,36,1,Dropout
0,0.0,0,0.0,0,0,0,134.7,19,1,Dropout
0,0.0,0,0.0,0,0,0,113.8,27,1,Dropout
1,13.0,0,0.0,1,0,0,116.9,18,1,Dropout
7,13.331428571428573,7,13.331428571428573,1,0,1,124.0,18,1,Graduate
0,0.0,0,0.0,1,0,0,117.5,28,1,Dropout
0,0.0,0,0.0,1,0,0,154.8,21,1,Graduate
6,13.7,6,13.7,1,0,0,141.0,19,1,Graduate
0,0.0,0,0.0,0,1,0,120.0,26,1,Dropout
9,13.454545454545457,6,13.875,1,0,0,133.6,20,1,Dropout
7,12.2,7,12.2,1,0,0,122.0,19,1,Graduate
3,10.0,4,11.0,1,0,0,120.0,21,1,Dropout
5,13.0,6,12.857142857142858,1,0,1,114.2,23,1,Graduate
6,12.0,6,14.0,1,0,0,95.5,29,1,Graduate
7,15.028571428571428,7,15.028571428571428,1,0,0,120.0,20,1,Graduate
6,12.0,6,11.714285714285714,1,0,0,111.1,18,1,Graduate
5,12.0,5,12.4,1,0,0,128.6,19,1,Graduate
3,13.666666666666666,3,11.333333333333334,0,0,0,130.0,23,1,Dropout
0,0.0,0,0.0,1,0,0,111.1,21,1,Dropout
5,12.0,4,12.5,1,0,0,122.7,18,1,Enrolled
0,0.0,0,0.0,1,0,1,134.4,18,1,Graduate
1,14.0,0,0.0,0,1,0,131.0,21,1,Dropout
0,0.0,0,0.0,1,0,0,125.0,22,1,Dropout
7,12.375,5,12.583333333333334,1,0,0,106.0,21,1,Graduate
0,0.0,0,0.0,0,0,0,128.0,32,1,Dropout
18,11.421052631578949,13,11.076923076923077,1,0,0,120.0,27,1,Graduate
6,13.35,6,13.35,1,0,0,134.8,18,1,Graduate
6,15.0,2,16.0,1,0,1,112.0,24,1,Graduate
2,10.5,0,0.0,1,0,0,116.1,22,1,Dropout
0,0.0,0,0.0,0,0,0,120.0,22,1,Dropout
5,13.25,5,11.833333333333334,1,0,0,119.7,19,1,Graduate
0,0.0,0,0.0,1,0,0,117.1,19,1,Dropout
4,11.5,3,10.6,1,0,0,112.4,21,1,Enrolled
8,13.88125,8,13.88125,1,0,1,131.0,18,0,Graduate
6,11.333333333333334,5,12.6,1,0,0,130.9,18,0,Graduate
0,0.0,0,0.0,1,1,0,134.9,20,0,Dropout
6,12.857142857142858,6,13.666666666666666,1,0,0,127.1,19,0,Graduate
5,11.6,6,12.5,1,1,0,110.2,19,0,Graduate
5,11.4,6,11.333333333333334,1,0,1,108.7,18,0,Graduate
6,13.333333333333334,6,13.0,1,0,0,138.0,20,0,Enrolled
7,13.571428571428571,9,13.77777777777778,1,1,1,147.7,22,0,Graduate
6,11.833333333333334,7,12.228571428571428,1,0,0,123.0,31,0,Graduate
7,14.428571428571429,7,14.142857142857142,1,0,1,142.8,19,0,Graduate
0,0.0,0,0.0,1,0,0,138.3,18,0,Enrolled
6,12.285714285714286,5,12.4,1,0,1,125.2,18,0,Graduate
5,14.4,5,13.8,1,0,0,141.8,21,0,Graduate
7,13.15,8,15.06875,1,0,1,130.6,18,0,Graduate
0,0.0,0,0.0,0,1,0,130.0,25,1,Dropout
0,0.0,0,0.0,1,1,0,100.0,21,1,Dropout
7,12.342857142857143,7,12.342857142857143,1,0,1,119.0,19,0,Graduate
5,12.2,5,10.8,1,0,0,124.3,19,0,Enrolled
4,10.5,1,11.0,1,0,0,122.2,22,0,Dropout
5,10.6,5,11.6,1,0,0,150.0,19,1,Graduate
0,0.0,0,0.0,1,0,0,135.5,58,0,Dropout
4,11.25,6,12.0,1,0,1,127.3,19,0,Graduate
6,10.5,10,11.7,1,0,0,127.0,23,1,Graduate
4,11.0,3,11.666666666666666,1,0,1,126.9,19,0,Enrolled
7,13.457142857142856,8,14.5125,1,0,0,127.5,18,0,Graduate
5,12.6,4,12.333333333333334,1,0,0,122.0,20,0,Graduate
0,0.0,0,0.0,0,0,0,115.8,18,0,Dropout
6,13.666666666666666,5,13.6,1,0,0,121.6,18,0,Graduate
